% ----------------------------------------------------------------------------
% This file contains profiled data created with the SUMO Toolbox profiler v2014a
% 
%   * Name: model_sigma2_out
%   * Description: Hyperparameter optimization process
%   * Date: 11/05/2015 at 15:00
% 
%   * Column1: 	Model #: 	Model #
%   * Column2: 	sigma2: 	Process variance
%
% ----------------------------------------------------------------------------

0.000000000E0	1.066220815642E8	
1.000000000E0	1.158972821806E8	
2.000000000E0	1.086604478131E8	
3.000000000E0	1.109328570246E8	
4.000000000E0	1.028370705284E8	
5.000000000E0	9.930067596342E7	
6.000000000E0	9.709452798747E7	
7.000000000E0	7.373864612412E8	
8.000000000E0	6.570937040132E8	
9.000000000E0	7.934421035334E7	
1.000000000E1	7.385458070538E7	
1.100000000E1	6.935078161134E7	
1.200000000E1	6.577480537358E7	
1.300000000E1	6.305204513414E7	
1.400000000E1	6.023358393421E7	
1.500000000E1	5.782347030935E7	
1.600000000E1	5.525484923509E7	
1.700000000E1	5.308588554271E7	
1.800000000E1	5.159593180738E7	
1.900000000E1	4.954953786855E7	
2.000000000E1	4.767801794803E7	
2.100000000E1	4.582575429044E7	
2.200000000E1	4.412377989427E7	
2.300000000E1	4.257331294378E7	
2.400000000E1	4.107148285043E7	
2.500000000E1	4.042381571228E7	
2.600000000E1	3.947535122377E7	
2.700000000E1	3.835817705409E7	
2.800000000E1	3.718286261272E7	
2.900000000E1	3.629380016273E7	
3.000000000E1	3.579127089142E7	
3.100000000E1	3.545711713635E7	
3.200000000E1	3.446128154214E7	
3.300000000E1	3.380331594523E7	
3.400000000E1	3.36335995954E7	
3.500000000E1	3.327191912778E7	
3.600000000E1	1.795348891414E8	
3.700000000E1	3.418352210947E7	
3.800000000E1	3.356312397985E7	
3.900000000E1	3.297659728511E7	
4.000000000E1	3.235765131339E7	
4.100000000E1	7.048116617834E7	
4.200000000E1	8.237885141713E7	
4.300000000E1	8.371120156602E7	
4.400000000E1	8.325273689573E7	
4.500000000E1	8.23847435695E7	
4.600000000E1	8.172204275681E7	
4.700000000E1	8.085052735048E7	
4.800000000E1	7.990889133492E7	
4.900000000E1	7.883219682792E7	
5.000000000E1	7.814740364827E7	
5.100000000E1	7.690893329616E7	
5.200000000E1	7.551619150784E7	
5.300000000E1	7.451384420645E7	
5.400000000E1	7.331471262058E7	
5.500000000E1	7.224855366746E7	
5.600000000E1	7.093563407209E7	
5.700000000E1	6.990945944176E7	
5.800000000E1	6.955790811466E7	
5.900000000E1	6.924459497579E7	
6.000000000E1	6.874180291563E7	
6.100000000E1	6.820361490537E7	
6.200000000E1	6.750042683537E7	
6.300000000E1	6.65569901007E7	
6.400000000E1	6.597509442804E7	
6.500000000E1	6.505797515386E7	
6.600000000E1	6.409260561819E7	
6.700000000E1	6.339028598959E7	
6.800000000E1	6.250823445376E7	
6.900000000E1	6.194238140912E7	
7.000000000E1	6.12698248799E7	
7.100000000E1	6.036243537268E7	
7.200000000E1	5.957432425588E7	
7.300000000E1	5.908024884527E7	
7.400000000E1	5.823382578838E7	
7.500000000E1	5.75747831104E7	
7.600000000E1	5.709509170898E7	
7.700000000E1	5.666863358535E7	
7.800000000E1	5.616858300737E7	
7.900000000E1	5.556995118701E7	
8.000000000E1	5.496478846195E7	
8.100000000E1	5.459396904282E7	
8.200000000E1	5.4215542692E7	
8.300000000E1	5.353222248406E7	
8.400000000E1	5.283418640008E7	
8.500000000E1	5.227459112441E7	
8.600000000E1	5.164132303819E7	
8.700000000E1	5.104846745651E7	
8.800000000E1	5.062748368615E7	
8.900000000E1	5.015877966187E7	
9.000000000E1	4.966483377841E7	
9.100000000E1	4.924414451444E7	
9.200000000E1	4.865199093191E7	
9.300000000E1	4.829768082711E7	
9.400000000E1	4.773631156025E7	
