% Generated by the SUMO toolbox (Version 2014a (2014a), built on 2014-05-10 09:39)
% This file contains all the samples evaluated in this run. Each line contains the input values for one sample followed by outputs.
% Selected inputs are:
% [TURI,TAVI] -> [out]
% All inputs:
% [] -> [] (mapping UNKNOWN)
6.670000e+02 1.000000e+00 -4.344087e+05 
5.560000e+02 4.824444e+02 -4.618634e+05 
3.340000e+02 6.977778e+01 -4.529754e+05 
8.890000e+02 4.136667e+02 -4.589418e+05 
4.450000e+02 2.761111e+02 -4.708068e+05 
7.780000e+02 2.073333e+02 -4.711714e+05 
7.087963e+02 2.227588e+02 -4.728010e+05 
7.533080e+02 2.524776e+02 -4.723921e+05 
5.329321e+02 2.618178e+02 -4.738861e+05 
4.930391e+02 2.321619e+02 -4.740954e+05 
5.732819e+02 2.225701e+02 -4.779605e+05 
5.734342e+02 1.837942e+02 -4.795030e+05 
6.177428e+02 1.849892e+02 -4.836282e+05 
6.457593e+02 1.576919e+02 -0.000000e+00 
8.688251e+02 2.262496e+02 -0.000000e+00 
