% ----------------------------------------------------------------------------
% This file contains profiled data created with the SUMO Toolbox profiler v2014a
% 
%   * Name: best_sigma2_out
%   * Description: Hyperparameter values for each new best model
%   * Date: 14/05/2015 at 12:49
% 
%   * Column1: 	Number of samples: 	Number of samples
%   * Column2: 	sigma2: 	Process variance
%
% ----------------------------------------------------------------------------

6.000000000E0	2.217441046984E8	
7.000000000E0	2.170289979252E9	
8.000000000E0	9.77670944367E9	
9.000000000E0	9.076939551978E9	
1.000000000E1	8.257419871068E9	
1.100000000E1	7.573602953967E9	
1.200000000E1	6.988577379914E9	
1.300000000E1	6.457311731655E9	
1.400000000E1	5.99640632886E9	
1.500000000E1	5.596972256446E9	
1.600000000E1	5.247362418781E9	
1.700000000E1	4.943345832367E9	
1.800000000E1	4.671954684614E9	
1.900000000E1	4.427067738827E9	
2.000000000E1	4.206462727558E9	
2.100000000E1	4.006411399957E9	
2.200000000E1	3.824363931529E9	
2.300000000E1	3.755101551999E9	
2.400000000E1	3.60533600262E9	
2.500000000E1	3.461695818497E9	
2.600000000E1	3.328682276967E9	
2.700000000E1	3.206303000375E9	
2.800000000E1	3.102584853247E9	
2.900000000E1	2.99590749489E9	
3.000000000E1	2.896252351059E9	
3.100000000E1	2.803063895206E9	
3.200000000E1	2.715471933998E9	
3.300000000E1	2.63481800548E9	
3.400000000E1	2.557856845849E9	
3.500000000E1	4.790164410826E9	
3.600000000E1	4.681376046942E9	
3.700000000E1	4.590130315177E9	
3.800000000E1	6.475953272467E9	
3.900000000E1	6.740886702616E9	
4.000000000E1	7.102971765044E9	
4.100000000E1	7.215993708652E9	
4.200000000E1	9.884524018069E9	
4.300000000E1	9.873821306635E9	
4.400000000E1	1.443530822995E10	
4.500000000E1	2.108739331669E10	
4.600000000E1	2.149343233518E10	
4.700000000E1	3.3965458468E10	
4.800000000E1	3.530888814075E10	
4.900000000E1	3.662206517309E10	
5.000000000E1	3.811226256858E10	
5.100000000E1	3.749858691694E10	
5.200000000E1	5.1911545105E10	
5.300000000E1	5.722314678608E10	
5.400000000E1	5.626298757106E10	
5.500000000E1	5.554999685631E10	
5.600000000E1	5.473770595115E10	
5.700000000E1	5.519968043934E10	
5.800000000E1	6.024894861439E10	
5.900000000E1	5.951535271009E10	
6.000000000E1	6.010690559082E10	
6.100000000E1	6.054169504607E10	
6.200000000E1	5.95910570273E10	
6.300000000E1	6.524221557894E10	
6.400000000E1	7.55166762343E10	
6.500000000E1	7.435838793814E10	
6.600000000E1	8.739041645327E10	
6.700000000E1	8.849574008137E10	
6.800000000E1	9.549843917565E10	
6.900000000E1	9.428177035329E10	
7.000000000E1	9.293602057334E10	
7.100000000E1	9.162784539378E10	
7.200000000E1	9.035585226194E10	
7.300000000E1	9.020904820253E10	
7.400000000E1	8.929009940801E10	
7.500000000E1	8.810004985025E10	
7.600000000E1	9.08565981957E10	
7.700000000E1	9.435575167205E10	
7.800000000E1	9.612282507075E10	
7.900000000E1	9.731860340093E10	
8.000000000E1	9.681386749806E10	
8.100000000E1	9.813985616266E10	
8.200000000E1	9.923626614579E10	
8.300000000E1	9.891941373232E10	
8.400000000E1	1.119258536399E11	
8.500000000E1	1.598141877357E11	
8.600000000E1	1.825275710038E11	
8.700000000E1	2.303674443492E11	
8.800000000E1	2.39958856435E11	
8.900000000E1	2.555015184924E11	
9.000000000E1	2.909306275519E11	
9.100000000E1	2.886468936971E11	
9.200000000E1	3.22848501214E11	
9.300000000E1	4.873562500719E11	
9.400000000E1	6.015507553088E11	
9.500000000E1	6.27577250328E11	
9.600000000E1	6.494538563017E11	
9.700000000E1	7.102523767045E11	
9.800000000E1	7.031678567981E11	
9.900000000E1	6.966586809147E11	
1.000000000E2	7.107552887573E11	
