% ----------------------------------------------------------------------------
% This file contains profiled data created with the SUMO Toolbox profiler v2014a
% 
%   * Name: best_sigma2_out
%   * Description: Hyperparameter values for each new best model
%   * Date: 05/05/2015 at 16:09
% 
%   * Column1: 	Number of samples: 	Number of samples
%   * Column2: 	sigma2: 	Process variance
%
% ----------------------------------------------------------------------------

5.000000000E0	4.42637642975E4	
6.000000000E0	3.700417121868E4	
7.000000000E0	3.184489297816E4	
8.000000000E0	2.892135391088E4	
9.000000000E0	2.887061045648E4	
1.000000000E1	2.647068069256E4	
1.100000000E1	5.049173347962E4	
1.200000000E1	4.637158627276E4	
1.300000000E1	4.402488028529E4	
1.400000000E1	4.794369169697E4	
1.500000000E1	4.531477556694E4	
1.600000000E1	4.420148857884E4	
1.700000000E1	4.307012062669E4	
1.800000000E1	4.262592110595E4	
1.900000000E1	4.097807030389E4	
2.000000000E1	4.096754513343E4	
2.100000000E1	4.046988143735E4	
2.200000000E1	3.882064741961E4	
2.300000000E1	3.763465981552E4	
2.400000000E1	4.376229133643E4	
2.500000000E1	4.323912357812E4	
2.600000000E1	4.184427057653E4	
2.700000000E1	4.294175701134E4	
2.800000000E1	4.146430407048E4	
2.900000000E1	4.192736577248E4	
3.000000000E1	4.053187124233E4	
3.100000000E1	4.069170603951E4	
3.200000000E1	3.956636108707E4	
3.300000000E1	3.837941628787E4	
3.400000000E1	4.388219575083E4	
3.500000000E1	4.267737282178E4	
3.600000000E1	4.152522431913E4	
3.700000000E1	4.098193550495E4	
3.800000000E1	3.990448715071E4	
3.900000000E1	4.044645390076E4	
4.000000000E1	3.946008066729E4	
4.100000000E1	4.261249457269E4	
4.200000000E1	5.646971028579E4	
4.300000000E1	7.512792788287E4	
4.400000000E1	9.894964860292E4	
4.500000000E1	1.252882486367E5	
4.600000000E1	1.338843579836E5	
4.700000000E1	1.349069864034E5	
4.800000000E1	1.331446228749E5	
4.900000000E1	1.365618981933E5	
5.000000000E1	1.426993012698E5	
5.100000000E1	1.399148283346E5	
5.200000000E1	1.373405722394E5	
5.300000000E1	1.347719961629E5	
5.400000000E1	1.322998705305E5	
5.500000000E1	1.299238903878E5	
5.600000000E1	1.300306695897E5	
5.700000000E1	1.28619615359E5	
5.800000000E1	1.285158888986E5	
5.900000000E1	1.266931673988E5	
6.000000000E1	1.246337451969E5	
6.100000000E1	1.226009366292E5	
6.200000000E1	1.206775297743E5	
6.300000000E1	1.19642888035E5	
6.400000000E1	1.178288871835E5	
6.500000000E1	1.160239569798E5	
6.600000000E1	1.150127621753E5	
6.700000000E1	1.137980898938E5	
6.800000000E1	1.139887432591E5	
6.900000000E1	1.143292967012E5	
7.000000000E1	1.133296963186E5	
7.100000000E1	1.236860663352E5	
7.200000000E1	1.221703806863E5	
7.300000000E1	1.251186207318E5	
7.400000000E1	1.260802771956E5	
7.500000000E1	1.244432545752E5	
7.600000000E1	1.323218347007E5	
7.700000000E1	1.308583132528E5	
7.800000000E1	1.293778591978E5	
7.900000000E1	1.278097385381E5	
8.000000000E1	1.26345570799E5	
8.100000000E1	1.251276534697E5	
8.200000000E1	1.236479616616E5	
8.300000000E1	5.703007086968E5	
8.400000000E1	5.802613754453E5	
8.500000000E1	5.750471304153E5	
8.600000000E1	7.375906488053E5	
8.700000000E1	2.951663527903E7	
8.800000000E1	4.034311902446E7	
8.900000000E1	3.989267453855E7	
9.000000000E1	7.441893326774E7	
9.100000000E1	7.57361956176E7	
9.200000000E1	7.491494797058E7	
9.300000000E1	7.411299914277E7	
9.400000000E1	7.33261194379E7	
9.500000000E1	7.255478779432E7	
9.600000000E1	7.17995900644E7	
9.700000000E1	7.106067430351E7	
9.800000000E1	7.033718787779E7	
9.900000000E1	6.962782857476E7	
1.000000000E2	6.893183361268E7	
