% ----------------------------------------------------------------------------
% This file contains profiled data created with the SUMO Toolbox profiler v2014a
% 
%   * Name: model_sigma2_out
%   * Description: Hyperparameter optimization process
%   * Date: 05/05/2015 at 16:09
% 
%   * Column1: 	Model #: 	Model #
%   * Column2: 	sigma2: 	Process variance
%
% ----------------------------------------------------------------------------

0.000000000E0	4.42637642975E4	
1.000000000E0	3.952362217225E5	
2.000000000E0	9.224997321307E4	
3.000000000E0	3.773963165104E4	
4.000000000E0	3.26985427647E4	
5.000000000E0	2.897668888213E4	
6.000000000E0	4.116827951378E4	
7.000000000E0	3.92766202341E4	
8.000000000E0	3.694175426804E4	
9.000000000E0	4.500239672921E4	
1.000000000E1	4.289938044457E4	
1.100000000E1	4.320586321559E4	
1.200000000E1	4.106680149685E4	
1.300000000E1	4.093146566733E4	
1.400000000E1	4.067985935704E4	
1.500000000E1	3.829801605113E4	
1.600000000E1	3.931293529257E4	
1.700000000E1	3.840097997448E4	
1.800000000E1	3.737460251274E4	
1.900000000E1	4.702335074893E4	
2.000000000E1	4.640414922565E4	
2.100000000E1	4.518756370221E4	
2.200000000E1	4.548627785379E4	
2.300000000E1	4.652112628948E4	
2.400000000E1	4.64633029556E4	
2.500000000E1	4.597985500474E4	
2.600000000E1	4.618501429922E4	
2.700000000E1	4.480051222338E4	
2.800000000E1	4.275439420442E4	
2.900000000E1	5.180715145932E4	
3.000000000E1	5.042259334687E4	
3.100000000E1	5.013302374128E4	
3.200000000E1	4.890559307296E4	
3.300000000E1	4.72928391946E4	
3.400000000E1	4.503541454682E4	
3.500000000E1	4.445738578946E4	
3.600000000E1	4.774444872209E4	
3.700000000E1	4.973745544314E4	
3.800000000E1	4.896577528615E4	
3.900000000E1	5.037836503275E4	
4.000000000E1	4.983722968491E4	
4.100000000E1	5.08017451707E4	
4.200000000E1	5.068734068437E4	
4.300000000E1	5.118467379284E4	
4.400000000E1	5.014462208702E4	
4.500000000E1	4.884942564938E4	
4.600000000E1	4.869132614812E4	
4.700000000E1	4.794040449401E4	
4.800000000E1	4.661264339348E4	
4.900000000E1	4.629399209151E4	
5.000000000E1	4.574502777486E4	
5.100000000E1	4.637866902768E4	
5.200000000E1	4.611216348769E4	
5.300000000E1	4.783098701831E4	
5.400000000E1	4.667832365497E4	
5.500000000E1	4.668180518127E4	
5.600000000E1	4.608673085267E4	
5.700000000E1	4.554657140524E4	
5.800000000E1	4.541768583901E4	
5.900000000E1	4.535123903949E4	
6.000000000E1	4.462160336881E4	
6.100000000E1	4.455529765449E4	
6.200000000E1	4.414003638394E4	
6.300000000E1	4.431070002135E4	
6.400000000E1	4.419668453504E4	
6.500000000E1	4.426294422865E4	
6.600000000E1	4.708092520197E4	
6.700000000E1	4.661472549582E4	
6.800000000E1	4.718878732033E4	
6.900000000E1	4.620841428142E4	
7.000000000E1	4.557327100386E4	
7.100000000E1	4.62256966093E4	
7.200000000E1	4.557131733467E4	
7.300000000E1	4.751302660892E4	
7.400000000E1	4.687939071133E4	
7.500000000E1	4.672734030783E4	
7.600000000E1	4.62815589629E4	
7.700000000E1	4.598808638873E4	
7.800000000E1	4.640285465769E4	
7.900000000E1	4.720775218659E4	
8.000000000E1	4.682947179234E4	
8.100000000E1	4.75121770764E4	
8.200000000E1	4.159370037405E4	
8.300000000E1	4.153146761951E4	
8.400000000E1	4.152226433456E4	
8.500000000E1	4.467496304362E4	
8.600000000E1	4.460594466604E4	
8.700000000E1	4.579305918827E4	
8.800000000E1	4.604923060417E4	
8.900000000E1	4.578878274478E4	
9.000000000E1	4.551113285575E4	
9.100000000E1	4.512387438212E4	
9.200000000E1	4.478835931454E4	
9.300000000E1	4.42978868107E4	
9.400000000E1	4.389127279407E4	
9.500000000E1	4.477691734932E4	
